b-last,b-avg,b-min,b-max,c-last,c-avg,c-min,c-max,d-last,d-avg,d-min,d-max,e-last,e-avg,e-min,e-max,e2e-last,e2e-avg,e2e-min,e2e-max
0,0.0,0,0,287,295.7,113,984,1,1.2,0,33,94,99.3,77,445,382,396.2,206,1071
0,0.0,0,0,325,295.8,113,984,1,1.2,0,33,88,99.2,77,445,414,396.3,206,1071
0,0.0,0,0,137,294.9,113,984,1,1.2,0,33,88,99.1,77,445,226,395.3,206,1071
0,0.0,0,0,381,295.4,113,984,1,1.2,0,33,108,99.2,77,445,490,395.8,206,1071
0,0.0,0,0,187,294.8,113,984,2,1.2,0,33,84,99.1,77,445,273,395.2,206,1071
0,0.0,0,0,307,294.9,113,984,1,1.2,0,33,120,99.2,77,445,428,395.3,206,1071
0,0.0,0,0,247,294.6,113,984,1,1.2,0,33,86,99.1,77,445,334,395.0,206,1071
0,0.0,0,0,219,294.2,113,984,1,1.2,0,33,96,99.1,77,445,316,394.6,206,1071
0,0.0,0,0,243,293.9,113,984,0,1.2,0,33,89,99.1,77,445,332,394.2,206,1071
0,0.0,0,0,319,294.1,113,984,0,1.2,0,33,107,99.1,77,445,426,394.4,206,1071
0,0.0,0,0,327,294.2,113,984,1,1.2,0,33,99,99.1,77,445,427,394.6,206,1071
0,0.0,0,0,527,295.5,113,984,1,1.2,0,33,85,99.0,77,445,613,395.8,206,1071
0,0.0,0,0,140,294.7,113,984,1,1.2,0,33,97,99.0,77,445,238,394.9,206,1071
0,0.0,0,0,199,294.1,113,984,1,1.2,0,33,115,99.1,77,445,315,394.5,206,1071
0,0.0,0,0,177,293.5,113,984,1,1.2,0,33,90,99.1,77,445,268,393.8,206,1071
0,0.0,0,0,259,293.3,113,984,1,1.2,0,33,101,99.1,77,445,361,393.6,206,1071
0,0.0,0,0,258,293.2,113,984,1,1.2,0,33,84,99.0,77,445,343,393.4,206,1071
0,0.0,0,0,262,293.0,113,984,0,1.2,0,33,113,99.1,77,445,375,393.3,206,1071
0,0.0,0,0,438,293.7,113,984,1,1.2,0,33,92,99.0,77,445,531,394.0,206,1071
0,0.0,0,0,255,293.5,113,984,1,1.2,0,33,88,99.0,77,445,344,393.7,206,1071
0,0.0,0,0,405,294.1,113,984,1,1.2,0,33,99,99.0,77,445,505,394.3,206,1071
0,0.0,0,0,162,293.4,113,984,2,1.2,0,33,89,98.9,77,445,253,393.6,206,1071
0,0.0,0,0,248,293.2,113,984,1,1.2,0,33,93,98.9,77,445,342,393.3,206,1071
0,0.0,0,0,230,292.9,113,984,1,1.2,0,33,87,98.8,77,445,318,392.9,206,1071
0,0.0,0,0,227,292.6,113,984,1,1.2,0,33,105,98.9,77,445,333,392.6,206,1071
0,0.0,0,0,296,292.6,113,984,1,1.2,0,33,81,98.8,77,445,378,392.6,206,1071
0,0.0,0,0,321,292.7,113,984,3,1.2,0,33,96,98.8,77,445,420,392.7,206,1071
0,0.0,0,0,352,293.0,113,984,1,1.2,0,33,119,98.9,77,445,472,393.1,206,1071
0,0.0,0,0,184,292.5,113,984,3,1.2,0,33,100,98.9,77,445,287,392.6,206,1071
0,0.0,0,0,183,291.9,113,984,1,1.2,0,33,87,98.8,77,445,271,392.0,206,1071
0,0.0,0,0,157,291.3,113,984,2,1.2,0,33,96,98.8,77,445,255,391.3,206,1071
0,0.0,0,0,249,291.1,113,984,1,1.2,0,33,97,98.8,77,445,347,391.1,206,1071
0,0.0,0,0,220,290.7,113,984,1,1.2,0,33,104,98.8,77,445,325,390.8,206,1071
0,0.0,0,0,285,290.7,113,984,1,1.2,0,33,101,98.8,77,445,387,390.8,206,1071
0,0.0,0,0,276,290.6,113,984,1,1.2,0,33,95,98.8,77,445,372,390.7,206,1071
0,0.0,0,0,366,291.0,113,984,1,1.2,0,33,98,98.8,77,445,465,391.0,206,1071
0,0.0,0,0,327,291.2,113,984,1,1.2,0,33,96,98.8,77,445,424,391.2,206,1071
0,0.0,0,0,432,291.8,113,984,1,1.2,0,33,89,98.7,77,445,522,391.8,206,1071
0,0.0,0,0,155,291.2,113,984,1,1.2,0,33,96,98.7,77,445,252,391.1,206,1071
0,0.0,0,0,249,291.0,113,984,0,1.2,0,33,107,98.8,77,445,356,391.0,206,1071
0,0.0,0,0,300,291.0,113,984,1,1.2,0,33,101,98.8,77,445,402,391.0,206,1071
0,0.0,0,0,218,290.7,113,984,1,1.2,0,33,105,98.8,77,445,324,390.7,206,1071
0,0.0,0,0,333,290.9,113,984,2,1.2,0,33,89,98.8,77,445,424,390.9,206,1071
0,0.0,0,0,394,291.4,113,984,0,1.2,0,33,112,98.8,77,445,506,391.4,206,1071
0,0.0,0,0,361,291.7,113,984,1,1.2,0,33,94,98.8,77,445,456,391.7,206,1071
0,0.0,0,0,163,291.1,113,984,1,1.2,0,33,98,98.8,77,445,262,391.1,206,1071
0,0.0,0,0,207,290.7,113,984,1,1.2,0,33,85,98.7,77,445,293,390.7,206,1071
0,0.0,0,0,260,290.6,113,984,1,1.2,0,33,86,98.7,77,445,347,390.5,206,1071
0,0.0,0,0,264,290.5,113,984,1,1.2,0,33,97,98.7,77,445,362,390.3,206,1071
0,0.0,0,0,432,291.1,113,984,1,1.2,0,33,104,98.7,77,445,537,391.0,206,1071
0,0.0,0,0,223,290.8,113,984,1,1.2,0,33,105,98.7,77,445,329,390.7,206,1071
0,0.0,0,0,249,290.6,113,984,1,1.2,0,33,83,98.7,77,445,333,390.5,206,1071
0,0.0,0,0,279,290.6,113,984,0,1.2,0,33,99,98.7,77,445,378,390.4,206,1071
0,0.0,0,0,275,290.5,113,984,1,1.2,0,33,83,98.6,77,445,359,390.3,206,1071
0,0.0,0,0,294,290.5,113,984,1,1.2,0,33,105,98.6,77,445,400,390.3,206,1071
0,0.0,0,0,363,290.8,113,984,1,1.2,0,33,89,98.6,77,445,453,390.6,206,1071
0,0.0,0,0,333,291.0,113,984,1,1.2,0,33,103,98.6,77,445,437,390.8,206,1071
0,0.0,0,0,129,290.3,113,984,1,1.2,0,33,83,98.5,77,445,213,390.0,206,1071
0,0.0,0,0,225,290.0,113,984,1,1.2,0,33,92,98.5,77,445,318,389.7,206,1071
0,0.0,0,0,232,289.8,113,984,1,1.2,0,33,87,98.4,77,445,320,389.4,206,1071
0,0.0,0,0,220,289.5,113,984,1,1.2,0,33,84,98.4,77,445,305,389.1,206,1071
0,0.0,0,0,279,289.4,113,984,1,1.2,0,33,101,98.4,77,445,381,389.0,206,1071
0,0.0,0,0,291,289.4,113,984,0,1.2,0,33,100,98.4,77,445,391,389.0,206,1071
0,0.0,0,0,284,289.4,113,984,1,1.2,0,33,96,98.4,77,445,381,389.0,206,1071
0,0.0,0,0,322,289.5,113,984,1,1.2,0,33,104,98.4,77,445,427,389.2,206,1071
0,0.0,0,0,364,289.9,113,984,1,1.2,0,33,93,98.4,77,445,458,389.4,206,1071
0,0.0,0,0,460,290.6,113,984,1,1.2,0,33,95,98.4,77,445,556,390.1,206,1071
0,0.0,0,0,211,290.2,113,984,1,1.2,0,33,85,98.3,77,445,297,389.7,206,1071
0,0.0,0,0,219,289.9,113,984,1,1.2,0,33,84,98.3,77,445,304,389.4,206,1071
0,0.0,0,0,303,290.0,113,984,1,1.2,0,33,93,98.2,77,445,397,389.4,206,1071
0,0.0,0,0,262,289.9,113,984,1,1.2,0,33,101,98.3,77,445,364,389.3,206,1071
0,0.0,0,0,247,289.7,113,984,1,1.2,0,33,105,98.3,77,445,353,389.2,206,1071
0,0.0,0,0,346,289.9,113,984,2,1.2,0,33,94,98.3,77,445,442,389.4,206,1071
0,0.0,0,0,294,290.0,113,984,1,1.2,0,33,101,98.3,77,445,396,389.4,206,1071
0,0.0,0,0,127,289.3,113,984,1,1.2,0,33,101,98.3,77,445,229,388.8,206,1071
0,0.0,0,0,438,289.9,113,984,1,1.2,0,33,98,98.3,77,445,537,389.4,206,1071
0,0.0,0,0,407,290.4,113,984,1,1.2,0,33,100,98.3,77,445,508,389.8,206,1071
0,0.0,0,0,192,290.0,113,984,1,1.2,0,33,95,98.3,77,445,288,389.4,206,1071
0,0.0,0,0,228,289.7,113,984,1,1.2,0,33,107,98.3,77,445,336,389.2,206,1071
0,0.0,0,0,227,289.5,113,984,0,1.2,0,33,104,98.3,77,445,331,389.0,206,1071
0,0.0,0,0,257,289.3,113,984,0,1.2,0,33,98,98.3,77,445,355,388.9,206,1071
0,0.0,0,0,311,289.4,113,984,1,1.2,0,33,106,98.4,77,445,418,389.0,206,1071
0,0.0,0,0,252,289.3,113,984,1,1.2,0,33,93,98.3,77,445,346,388.8,206,1071
0,0.0,0,0,301,289.3,113,984,1,1.2,0,33,110,98.4,77,445,412,388.9,206,1071
0,0.0,0,0,304,289.4,113,984,2,1.2,0,33,95,98.4,77,445,401,388.9,206,1071
0,0.0,0,0,544,290.4,113,984,0,1.2,0,33,99,98.4,77,445,643,389.9,206,1071
0,0.0,0,0,129,289.8,113,984,1,1.2,0,33,110,98.4,77,445,240,389.3,206,1071
0,0.0,0,0,393,290.1,113,984,1,1.2,0,33,97,98.4,77,445,491,389.7,206,1071
0,0.0,0,0,209,289.8,113,984,1,1.2,0,33,101,98.4,77,445,311,389.4,206,1071
0,0.0,0,0,411,290.3,113,984,1,1.2,0,33,94,98.4,77,445,506,389.9,206,1071
0,0.0,0,0,229,290.1,113,984,1,1.2,0,33,89,98.4,77,445,319,389.6,206,1071
0,0.0,0,0,236,289.9,113,984,1,1.2,0,33,113,98.4,77,445,350,389.5,206,1071
